stat.t	pvalue
2-LTR circle formation	2.48431798175806	0.0194352570806493
A tetrasaccharide linker sequence is required for GAG synthesis	-0.958879907197163	0.338026313972881
ABC transporter disorders	24.1856204684921	5.51473830829847e-123
ABC transporters in lipid homeostasis	-1.02011611162037	0.308487916668198
ABC-family proteins mediated transport	30.1887907880883	1.23021073586661e-191
ADORA2B mediated anti-inflammatory cytokines production	-10.8062271019898	4.14592599297427e-27
ADP signalling through P2Y purinoceptor 1	-0.239173664550308	0.811056863674675
ADP signalling through P2Y purinoceptor 12	0.768486273072532	0.44280275286045
AKT phosphorylates targets in the cytosol	7.01378540851795	5.76744694733518e-11
AKT phosphorylates targets in the nucleus	2.51045109774963	0.013967167155527
ALK mutants bind TKIs	1.98018272784322	0.0498111009839133
AMPK inhibits chREBP transcriptional activation activity	-0.743995020116804	0.460105513930959
APC truncation mutants have impaired AXIN binding	4.45826138434272	1.48208207686557e-05
APC-Cdc20 mediated degradation of Nek2A	12.800356392133	1.80470874937701e-33
APC/C-mediated degradation of cell cycle proteins	49.5797960371512	0
APC/C:Cdc20 mediated degradation of Cyclin B	11.2509574830783	1.4854573441178e-26
APC/C:Cdc20 mediated degradation of Securin	50.6072768405458	0
APC/C:Cdc20 mediated degradation of mitotic proteins	44.2155518555521	0
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	46.9863833446808	0
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	43.9307438166827	0
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	4.52970897342729	7.23920866732676e-05
APOBEC3G mediated resistance to HIV-1 infection	0.20194791623323	0.843230004645615
ARMS-mediated activation	0.321130998382611	0.749950658489914
ATF4 activates genes in response to endoplasmic reticulum  stress	6.94968672792921	8.1668704237583e-12
ATF6 (ATF6-alpha) activates chaperone genes	4.1943155214611	6.83284766299723e-05
ATF6 (ATF6-alpha) activates chaperones	4.20469919344472	4.93198141635966e-05
